Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Comarcas	Tamaño de las explotaciones según UGT	Especies animales	Tipos de ganado	Tipos ganado bovino	Características básicas de la explotación	Tipo de dato	Total
Total Nacional				Todas las explotaciones	1 Bovinos			Cabezas	Valor	6.760.391
Total Nacional				Todas las explotaciones	2 Ovinos			Cabezas	Valor	16.009.410
Total Nacional				Todas las explotaciones	4 Porcinos			Cabezas	Valor	30.091.215
Total Nacional				Todas las explotaciones	5 Aves de corral			Cabezas	Valor	211.580.762
Total Nacional	01 Andalucía			Todas las explotaciones	1 Bovinos			Cabezas	Valor	547.544
Total Nacional	01 Andalucía			Todas las explotaciones	2 Ovinos			Cabezas	Valor	2.599.418
Total Nacional	01 Andalucía			Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.546.709
Total Nacional	01 Andalucía			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	19.753.444
Total Nacional	01 Andalucía	04 Almería		Todas las explotaciones	1 Bovinos			Cabezas	Valor	1.905
Total Nacional	01 Andalucía	04 Almería		Todas las explotaciones	2 Ovinos			Cabezas	Valor	197.017
Total Nacional	01 Andalucía	04 Almería		Todas las explotaciones	4 Porcinos			Cabezas	Valor	463.375
Total Nacional	01 Andalucía	04 Almería		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	923.606
Total Nacional	01 Andalucía	11 Cádiz		Todas las explotaciones	1 Bovinos			Cabezas	Valor	130.905
Total Nacional	01 Andalucía	11 Cádiz		Todas las explotaciones	2 Ovinos			Cabezas	Valor	125.991
Total Nacional	01 Andalucía	11 Cádiz		Todas las explotaciones	4 Porcinos			Cabezas	Valor	80.288
Total Nacional	01 Andalucía	11 Cádiz		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	444.554
Total Nacional	01 Andalucía	14 Córdoba		Todas las explotaciones	1 Bovinos			Cabezas	Valor	160.838
Total Nacional	01 Andalucía	14 Córdoba		Todas las explotaciones	2 Ovinos			Cabezas	Valor	743.321
Total Nacional	01 Andalucía	14 Córdoba		Todas las explotaciones	4 Porcinos			Cabezas	Valor	293.195
Total Nacional	01 Andalucía	14 Córdoba		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.390.074
Total Nacional	01 Andalucía	18 Granada		Todas las explotaciones	1 Bovinos			Cabezas	Valor	21.885
Total Nacional	01 Andalucía	18 Granada		Todas las explotaciones	2 Ovinos			Cabezas	Valor	445.143
Total Nacional	01 Andalucía	18 Granada		Todas las explotaciones	4 Porcinos			Cabezas	Valor	271.841
Total Nacional	01 Andalucía	18 Granada		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	3.546.749
Total Nacional	01 Andalucía	21 Huelva		Todas las explotaciones	1 Bovinos			Cabezas	Valor	71.076
Total Nacional	01 Andalucía	21 Huelva		Todas las explotaciones	2 Ovinos			Cabezas	Valor	216.817
Total Nacional	01 Andalucía	21 Huelva		Todas las explotaciones	4 Porcinos			Cabezas	Valor	232.467
Total Nacional	01 Andalucía	21 Huelva		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	4.808.817
Total Nacional	01 Andalucía	23 Jaén		Todas las explotaciones	1 Bovinos			Cabezas	Valor	31.296
Total Nacional	01 Andalucía	23 Jaén		Todas las explotaciones	2 Ovinos			Cabezas	Valor	296.686
Total Nacional	01 Andalucía	23 Jaén		Todas las explotaciones	4 Porcinos			Cabezas	Valor	126.982
Total Nacional	01 Andalucía	23 Jaén		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.657.987
Total Nacional	01 Andalucía	29 Málaga		Todas las explotaciones	1 Bovinos			Cabezas	Valor	18.540
Total Nacional	01 Andalucía	29 Málaga		Todas las explotaciones	2 Ovinos			Cabezas	Valor	204.417
Total Nacional	01 Andalucía	29 Málaga		Todas las explotaciones	4 Porcinos			Cabezas	Valor	398.280
Total Nacional	01 Andalucía	29 Málaga		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	795.068
Total Nacional	01 Andalucía	41 Sevilla		Todas las explotaciones	1 Bovinos			Cabezas	Valor	111.099
Total Nacional	01 Andalucía	41 Sevilla		Todas las explotaciones	2 Ovinos			Cabezas	Valor	370.026
Total Nacional	01 Andalucía	41 Sevilla		Todas las explotaciones	4 Porcinos			Cabezas	Valor	680.281
Total Nacional	01 Andalucía	41 Sevilla		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	6.186.589
Total Nacional	02 Aragón			Todas las explotaciones	1 Bovinos			Cabezas	Valor	408.211
Total Nacional	02 Aragón			Todas las explotaciones	2 Ovinos			Cabezas	Valor	1.654.786
Total Nacional	02 Aragón			Todas las explotaciones	4 Porcinos			Cabezas	Valor	4.117.058
Total Nacional	02 Aragón			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	23.248.246
Total Nacional	02 Aragón	22 Huesca		Todas las explotaciones	1 Bovinos			Cabezas	Valor	282.769
Total Nacional	02 Aragón	22 Huesca		Todas las explotaciones	2 Ovinos			Cabezas	Valor	498.826
Total Nacional	02 Aragón	22 Huesca		Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.858.293
Total Nacional	02 Aragón	22 Huesca		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	9.041.156
Total Nacional	02 Aragón	44 Teruel		Todas las explotaciones	1 Bovinos			Cabezas	Valor	51.745
Total Nacional	02 Aragón	44 Teruel		Todas las explotaciones	2 Ovinos			Cabezas	Valor	590.473
Total Nacional	02 Aragón	44 Teruel		Todas las explotaciones	4 Porcinos			Cabezas	Valor	609.917
Total Nacional	02 Aragón	44 Teruel		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	3.485.147
Total Nacional	02 Aragón	50 Zaragoza		Todas las explotaciones	1 Bovinos			Cabezas	Valor	73.697
Total Nacional	02 Aragón	50 Zaragoza		Todas las explotaciones	2 Ovinos			Cabezas	Valor	565.487
Total Nacional	02 Aragón	50 Zaragoza		Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.648.848
