Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Comarcas	Tamaño de las explotaciones según UGT	Especies animales	Tipos de ganado	Tipos ganado bovino	Características básicas de la explotación	Tipo de dato	Total
Total Nacional				Todas las explotaciones	1 Bovinos			Cabezas	Valor	6.760.391
Total Nacional				Todas las explotaciones	2 Ovinos			Cabezas	Valor	16.009.410
Total Nacional				Todas las explotaciones	4 Porcinos			Cabezas	Valor	30.091.215
Total Nacional				Todas las explotaciones	5 Aves de corral			Cabezas	Valor	211.580.762
Total Nacional	01 Andalucía			Todas las explotaciones	1 Bovinos			Cabezas	Valor	547.544
Total Nacional	01 Andalucía			Todas las explotaciones	2 Ovinos			Cabezas	Valor	2.599.418
Total Nacional	01 Andalucía			Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.546.709
Total Nacional	01 Andalucía			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	19.753.444
Total Nacional	02 Aragón			Todas las explotaciones	1 Bovinos			Cabezas	Valor	408.211
Total Nacional	02 Aragón			Todas las explotaciones	2 Ovinos			Cabezas	Valor	1.654.786
Total Nacional	02 Aragón			Todas las explotaciones	4 Porcinos			Cabezas	Valor	4.117.058
Total Nacional	02 Aragón			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	23.248.246
Total Nacional	03 Asturias, Principado de			Todas las explotaciones	1 Bovinos			Cabezas	Valor	409.918
Total Nacional	03 Asturias, Principado de			Todas las explotaciones	2 Ovinos			Cabezas	Valor	40.084
Total Nacional	03 Asturias, Principado de			Todas las explotaciones	4 Porcinos			Cabezas	Valor	7.319
Total Nacional	03 Asturias, Principado de			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	157.527
Total Nacional	04 Balears, Illes			Todas las explotaciones	1 Bovinos			Cabezas	Valor	28.559
Total Nacional	04 Balears, Illes			Todas las explotaciones	2 Ovinos			Cabezas	Valor	285.736
Total Nacional	04 Balears, Illes			Todas las explotaciones	4 Porcinos			Cabezas	Valor	85.739
Total Nacional	04 Balears, Illes			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	286.546
Total Nacional	05 Canarias			Todas las explotaciones	1 Bovinos			Cabezas	Valor	19.938
Total Nacional	05 Canarias			Todas las explotaciones	2 Ovinos			Cabezas	Valor	40.316
Total Nacional	05 Canarias			Todas las explotaciones	4 Porcinos			Cabezas	Valor	37.931
Total Nacional	05 Canarias			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	2.601.888
Total Nacional	06 Cantabria			Todas las explotaciones	1 Bovinos			Cabezas	Valor	269.640
Total Nacional	06 Cantabria			Todas las explotaciones	2 Ovinos			Cabezas	Valor	34.273
Total Nacional	06 Cantabria			Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.082
Total Nacional	06 Cantabria			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	80.444
Total Nacional	07 Castilla y León			Todas las explotaciones	1 Bovinos			Cabezas	Valor	1.494.053
Total Nacional	07 Castilla y León			Todas las explotaciones	2 Ovinos			Cabezas	Valor	2.664.103
Total Nacional	07 Castilla y León			Todas las explotaciones	4 Porcinos			Cabezas	Valor	4.425.015
Total Nacional	07 Castilla y León			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	22.847.225
Total Nacional	08 Castilla - La Mancha			Todas las explotaciones	1 Bovinos			Cabezas	Valor	488.994
Total Nacional	08 Castilla - La Mancha			Todas las explotaciones	2 Ovinos			Cabezas	Valor	2.444.336
Total Nacional	08 Castilla - La Mancha			Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.784.806
Total Nacional	08 Castilla - La Mancha			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	26.791.741
Total Nacional	09 Cataluña			Todas las explotaciones	1 Bovinos			Cabezas	Valor	676.097
Total Nacional	09 Cataluña			Todas las explotaciones	2 Ovinos			Cabezas	Valor	488.771
Total Nacional	09 Cataluña			Todas las explotaciones	4 Porcinos			Cabezas	Valor	8.192.796
Total Nacional	09 Cataluña			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	42.544.012
Total Nacional	10 Comunitat Valenciana			Todas las explotaciones	1 Bovinos			Cabezas	Valor	53.712
Total Nacional	10 Comunitat Valenciana			Todas las explotaciones	2 Ovinos			Cabezas	Valor	275.034
Total Nacional	10 Comunitat Valenciana			Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.381.783
Total Nacional	10 Comunitat Valenciana			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	19.368.256
Total Nacional	11 Extremadura			Todas las explotaciones	1 Bovinos			Cabezas	Valor	889.072
Total Nacional	11 Extremadura			Todas las explotaciones	2 Ovinos			Cabezas	Valor	3.834.066
Total Nacional	11 Extremadura			Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.682.085
Total Nacional	11 Extremadura			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	8.595.072
Total Nacional	12 Galicia			Todas las explotaciones	1 Bovinos			Cabezas	Valor	994.515
Total Nacional	12 Galicia			Todas las explotaciones	2 Ovinos			Cabezas	Valor	160.361
Total Nacional	12 Galicia			Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.408.818
Total Nacional	12 Galicia			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	24.825.124
Total Nacional	13 Madrid, Comunidad de			Todas las explotaciones	1 Bovinos			Cabezas	Valor	93.580
Total Nacional	13 Madrid, Comunidad de			Todas las explotaciones	2 Ovinos			Cabezas	Valor	82.652
Total Nacional	13 Madrid, Comunidad de			Todas las explotaciones	4 Porcinos			Cabezas	Valor	19.290
Total Nacional	13 Madrid, Comunidad de			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.495.671
Total Nacional	14 Murcia, Región de			Todas las explotaciones	1 Bovinos			Cabezas	Valor	78.133
Total Nacional	14 Murcia, Región de			Todas las explotaciones	2 Ovinos			Cabezas	Valor	612.592
Total Nacional	14 Murcia, Región de			Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.366.928
